id,user_id,data
2,20240826000805689214,"{""existing_id"": ""20240826000805689214"", ""viewport_size"": {""width"": 1920, ""height"": 955}, ""current_url"": ""/0-introduction"", ""work"": [""public_administration""], ""completed_introduction"": ""yes"", ""impairment"": ""No"", ""expertise"": ""6"", ""use_frequency"": 2, ""viztype_barchart"": 1, ""viztype_pcp"": 1, ""viztype_heatmap"": 1, ""viztype_pathways"": 1}"
3,20240826002043209424,"{""existing_id"": ""20240826002043209424"", ""viewport_size"": {""width"": 1355, ""height"": 807}, ""current_url"": ""/0-introduction"", ""work"": [""research""], ""completed_introduction"": ""yes"", ""impairment"": ""No"", ""expertise"": ""t"", ""use_frequency"": 1, ""viztype_barchart"": 1, ""viztype_pcp"": 1, ""viztype_heatmap"": 2, ""viztype_pathways"": 2}"
4,20240826002310918763,"{""existing_id"": ""20240826002310918763"", ""viewport_size"": {""width"": 1355, ""height"": 807}, ""current_url"": ""/0-introduction"", ""work"": [], ""completed_introduction"": ""yes"", ""impairment"": ""No"", ""expertise"": ""t"", ""use_frequency"": 2, ""viztype_barchart"": 2, ""viztype_pcp"": 2, ""viztype_heatmap"": 2, ""viztype_pathways"": 2}"
1,20240825214922740690,"{""existing_id"": ""20240825214922740690"", ""viewport_size"": {""width"": 1920, ""height"": 955}, ""current_url"": ""/2-pathways-robustness"", ""work"": [], ""completed_introduction"": ""yes"", ""impairment"": ""No"", ""expertise"": ""test"", ""use_frequency"": 3, ""viztype_barchart"": 3, ""viztype_pcp"": 3, ""viztype_heatmap"": 3, ""viztype_pathways"": 3, ""completed_alternative_pathways"": ""yes"", ""risk_owner_hazard"": ""flood_agr"", ""interactions"": [{""label"": ""No interactions"", ""value"": [""no_interactions""]}, {""label"": ""Farmer - Drought"", ""value"": [""drought_agr""]}, {""label"": ""Municipality - Flood"", ""value"": [""flood_urb""]}, {""label"": ""Ship company - Drought"", ""value"": [""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood"", ""value"": [""drought_agr"", ""flood_urb""]}, {""label"": ""Farmer - Drought & Ship company - Drought"", ""value"": [""drought_agr"", ""drought_shp""]}, {""label"": ""Municipality - Flood & Ship company - Drought"", ""value"": [""flood_urb"", ""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood & Ship company - Drought"", ""value"": [""drought_agr"", ""flood_urb"", ""drought_shp""]}], ""pathway_number"": 0, ""f_resilient_crops"": 0, ""long_term"": ""Ditch_System"", ""flexibility"": ""Ditch_System"", ""alternative_challenge"": ""o"", ""alternative_advantage"": ""o"", ""easy"": 2, ""confidence"": 2, ""enough_information"": 2, ""scalability"": 2, ""robustness"": [], ""tradeoff"": [], ""interaction_least_productivity_loss"": [], ""completed_pathways_robustness"": ""yes"", ""timehorizon"": ""100"", ""scenarios"": ""Wp"", ""robustness_metric"": ""average"", ""robustness_plot"": ""Heatmap"", ""interacting_sectors_robustness"": null, ""coding"": ""6"", ""crop_loss"": 6, ""general_interactions"": ""tradeoffs"", ""likkert_use-robustness_easy"": 2, ""likkert_use-robustness_confidence"": 2, ""likkert_use-robustness_enough_information"": 2, ""likkert_use-robustness_scalability"": 2, ""robustness_challenge"": ""tesyt"", ""robustness_advantage"": ""o"", ""sectoral_interactions_maps"": [""flood_urb"", ""drought_shp""], ""first_measure"": 7, ""number_measures"": 5, ""most_flexible15"": [1], ""most_flexible4"": [1], ""timing_shifts"": ""later"", ""ditch_shift"": 7, ""likkert_use-pathways_maps_easy"": 3, ""likkert_use-pathways_maps_confidence"": 3, ""likkert_use-pathways_maps_enough_information"": 2, ""likkert_use-pathways_maps_scalability"": 2, ""pathways_challenge"": ""0"", ""pathways_advantage"": ""0"", ""completed_pathways_maps"": ""yes""}"
5,20240826002530806423,"{""existing_id"": ""20240826002530806423"", ""viewport_size"": {""width"": 1355, ""height"": 807}, ""current_url"": ""/0-introduction"", ""work"": [], ""completed_introduction"": ""yes"", ""impairment"": ""No"", ""expertise"": ""t"", ""use_frequency"": 2, ""viztype_barchart"": 2, ""viztype_pcp"": 2, ""viztype_heatmap"": 2, ""viztype_pathways"": 2}"
6,20240826002704297342,"{""existing_id"": ""20240826002704297342"", ""viewport_size"": {""width"": 1355, ""height"": 807}, ""current_url"": ""/0-introduction"", ""work"": [], ""completed_introduction"": ""yes"", ""impairment"": ""No"", ""expertise"": ""t"", ""use_frequency"": 2, ""viztype_barchart"": 2, ""viztype_pcp"": 2, ""viztype_heatmap"": 2, ""viztype_pathways"": 1, ""risk_owner_hazard"": ""flood_agr"", ""interactions"": [{""label"": ""No interactions"", ""value"": [""no_interactions""]}, {""label"": ""Farmer - Drought"", ""value"": [""drought_agr""]}, {""label"": ""Municipality - Flood"", ""value"": [""flood_urb""]}, {""label"": ""Ship company - Drought"", ""value"": [""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood"", ""value"": [""drought_agr"", ""flood_urb""]}, {""label"": ""Farmer - Drought & Ship company - Drought"", ""value"": [""drought_agr"", ""drought_shp""]}, {""label"": ""Municipality - Flood & Ship company - Drought"", ""value"": [""flood_urb"", ""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood & Ship company - Drought"", ""value"": [""drought_agr"", ""flood_urb"", ""drought_shp""]}]}"
7,20240826003811830065,"{""existing_id"": ""20240826003811830065"", ""viewport_size"": {""width"": 1355, ""height"": 807}, ""current_url"": ""/0-introduction"", ""work"": [], ""completed_introduction"": ""yes"", ""impairment"": ""IdontKnow"", ""expertise"": ""tre"", ""use_frequency"": 2, ""viztype_barchart"": 3, ""viztype_pcp"": 3, ""viztype_heatmap"": 2, ""viztype_pathways"": 2, ""completed_alternative_pathways"": ""no""}"
8,20240826003855569166,"{""existing_id"": ""20240826003855569166"", ""viewport_size"": {""width"": 1355, ""height"": 807}, ""current_url"": ""/0-introduction"", ""work"": [], ""completed_introduction"": ""yes"", ""impairment"": ""IdontKnow"", ""expertise"": ""tre"", ""use_frequency"": 2, ""viztype_barchart"": 3, ""viztype_pcp"": 3, ""viztype_heatmap"": 2, ""viztype_pathways"": 2, ""risk_owner_hazard"": ""flood_agr"", ""interactions"": [{""label"": ""No interactions"", ""value"": [""no_interactions""]}, {""label"": ""Farmer - Drought"", ""value"": [""drought_agr""]}, {""label"": ""Municipality - Flood"", ""value"": [""flood_urb""]}, {""label"": ""Ship company - Drought"", ""value"": [""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood"", ""value"": [""drought_agr"", ""flood_urb""]}, {""label"": ""Farmer - Drought & Ship company - Drought"", ""value"": [""drought_agr"", ""drought_shp""]}, {""label"": ""Municipality - Flood & Ship company - Drought"", ""value"": [""flood_urb"", ""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood & Ship company - Drought"", ""value"": [""drought_agr"", ""flood_urb"", ""drought_shp""]}]}"
9,20240826003857468071,"{""existing_id"": ""20240826003857468071"", ""viewport_size"": {""width"": 1355, ""height"": 807}, ""current_url"": ""/0-introduction"", ""work"": [], ""completed_introduction"": ""yes"", ""impairment"": ""IdontKnow"", ""expertise"": ""tre"", ""use_frequency"": 2, ""viztype_barchart"": 3, ""viztype_pcp"": 3, ""viztype_heatmap"": 2, ""viztype_pathways"": 2, ""risk_owner_hazard"": ""flood_agr"", ""interactions"": [{""label"": ""No interactions"", ""value"": [""no_interactions""]}, {""label"": ""Farmer - Drought"", ""value"": [""drought_agr""]}, {""label"": ""Municipality - Flood"", ""value"": [""flood_urb""]}, {""label"": ""Ship company - Drought"", ""value"": [""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood"", ""value"": [""drought_agr"", ""flood_urb""]}, {""label"": ""Farmer - Drought & Ship company - Drought"", ""value"": [""drought_agr"", ""drought_shp""]}, {""label"": ""Municipality - Flood & Ship company - Drought"", ""value"": [""flood_urb"", ""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood & Ship company - Drought"", ""value"": [""drought_agr"", ""flood_urb"", ""drought_shp""]}]}"
10,20240826003911325973,"{""existing_id"": ""20240826003911325973"", ""viewport_size"": {""width"": 1355, ""height"": 807}, ""current_url"": ""/0-introduction"", ""work"": [], ""completed_introduction"": ""yes"", ""impairment"": ""IdontKnow"", ""expertise"": ""tre"", ""use_frequency"": 2, ""viztype_barchart"": 3, ""viztype_pcp"": 3, ""viztype_heatmap"": 2, ""viztype_pathways"": 2, ""risk_owner_hazard"": ""flood_agr"", ""interactions"": [{""label"": ""No interactions"", ""value"": [""no_interactions""]}, {""label"": ""Farmer - Drought"", ""value"": [""drought_agr""]}, {""label"": ""Municipality - Flood"", ""value"": [""flood_urb""]}, {""label"": ""Ship company - Drought"", ""value"": [""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood"", ""value"": [""drought_agr"", ""flood_urb""]}, {""label"": ""Farmer - Drought & Ship company - Drought"", ""value"": [""drought_agr"", ""drought_shp""]}, {""label"": ""Municipality - Flood & Ship company - Drought"", ""value"": [""flood_urb"", ""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood & Ship company - Drought"", ""value"": [""drought_agr"", ""flood_urb"", ""drought_shp""]}]}"
